symbol	year	count	source
afSymbol	-1000	17	https://en.wikipedia.org/wiki/F
aiSymbol	-1000	17	https://www.daytranslations.com/blog/origin-english-alphabet/
akSymbol	-1000	17	https://en.wikipedia.org/wiki/K
alSymbol	-1000	17	https://en.wikipedia.org/wiki/L
amSymbol	-1000	17	https://en.wikipedia.org/wiki/M
auSymbol	-1000	17	https://www.daytranslations.com/blog/origin-english-alphabet/
avSymbol	-1000	17	https://en.wikipedia.org/wiki/V
azSymbol	-1000	17	https://en.wikipedia.org/wiki/Z
abSymbol	-2000	8	https://en.wikipedia.org/wiki/B
adSymbol	-2000	8	https://en.wikipedia.org/wiki/D
aeSymbol	-2000	8	https://en.wikipedia.org/wiki/E
ahSymbol	-2000	8	https://en.wikipedia.org/wiki/H
anSymbol	-2000	8	https://en.wikipedia.org/wiki/N
aoSymbol	-2000	8	https://www.daytranslations.com/blog/origin-english-alphabet/
aqSymbol	-2000	8	https://en.wikipedia.org/wiki/Q
asSymbol	-2000	8	https://en.wikipedia.org/wiki/S
